condition,drugName,rating,usefulCount
Anxiety,Effexor XR,2,13
Raynaud's Syndrome,Nifedipine,1,22
Schizophrenia,Lurasidone,8,26
"Diabetes, Type 1",Afrezza,10,125
Depression,Zoloft,1,51
Schizophrenia,Ziprasidone,10,33
Kidney Infections,Bactrim,1,0
Birth Control,Ethinyl estradiol / norethindrone,3,4
Major Depressive Disorde,Sertraline,10,88
Hyperhidrosis,Aluminum chloride hexahydrate,7,5
Depression,Effexor XR,1,18
Birth Control,ParaGard,1,4
Generalized Anxiety Disorde,Pregabalin,10,228
Birth Control,Ethinyl estradiol / levonorgestrel,9,4
Pain,Ultram,10,36
Obesity,Phentermine,10,5
Depression,Venlafaxine,8,36
Alcohol Dependence,Campral,10,80
Depression,Venlafaxine,1,5
Emergency Contraception,Levonorgestrel,10,14
Anxiety,BuSpar,4,17
Pain,Acetaminophen / hydrocodone,8,21
Birth Control,Aviane,10,9
Migraine Prevention,Inderal,10,45
Nausea/Vomiting,Promethazine,10,22
Vaginal Yeast Infection,Tioconazole,3,0
Osteoarthritis,Orthovisc,1,12
Birth Control,Implanon,5,1
Motion Sickness,Marezine,10,22
Birth Control,Levonorgestrel,10,1
Bipolar Disorde,Aripiprazole,8,16
High Blood Pressure,Minoxidil,1,10
Psoriatic Arthritis,Humira,10,4
"Diabetes, Type 1","Insulin inhalation, rapid acting",1,9
Pain,Acetaminophen / hydrocodone,9,15
Interstitial Cystitis,Phenazopyridine,10,34
Birth Control,Levonorgestrel,10,0
ADHD,Clonidine,10,159
Birth Control,Ethinyl estradiol / norgestimate,4,35
Smoking Cessation,Nicoderm CQ,10,14
Emergency Contraception,Levonorgestrel,8,9
Osteoarthritis,Celecoxib,1,35
Major Depressive Disorde,Fluoxetine,10,58
Migraine Prevention,Topamax,1,31
Bipolar Disorde,Depakote,8,22
Migraine Prevention,Riboflavin,8,22
Birth Control,Lo Loestrin Fe,1,3
Birth Control,Copper,5,6
Postmenopausal Symptoms,Drospirenone / estradiol,10,7
Depression,Bupropion,4,15
Bacterial Skin Infection,Bacitracin / neomycin / polymyxin b,10,0
Weight Loss,Phentermine,9,19
Birth Control,Yaz,2,4
Birth Control,Copper,10,24
ibromyalgia,Amitriptyline,1,0
Birth Control,Jolessa,9,5
Cough and Nasal Congestion,Guaifenesin / pseudoephedrine,9,12
Pain,Oxycodone,10,60
Birth Control,Nexplanon,3,2
Depression,Bupropion,5,11
Hot Flashes,Brisdelle,2,15
Smoking Cessation,Bupropion,10,11
Acne,Beyaz,10,12
Birth Control,Lo Loestrin Fe,10,10
Birth Control,Ethinyl estradiol / norgestimate,5,2
Acne,Yasmin,10,21
ADHD,Bupropion,10,224
Depression,Zoloft,2,14
Diabetic Peripheral Neuropathy,Nucynta ER,1,14
Major Depressive Disorde,Prozac,1,24
Anxiety,BuSpar,3,21
Birth Control,Kariva,6,4
Depression,Escitalopram,10,63
12</span> users found this comment helpful.,Microgestin Fe 1 / 20,9,12
"Diabetes, Type 2",Liraglutide,9,26
Renal Cell Carcinoma,Sutent,9,80
Birth Control,Ethinyl estradiol / norethindrone,8,6
Pain,Tramadol,1,18
Pain,Tylenol with Codeine #3,1,2
Panic Disorde,BuSpar,10,84
Constipation,Magnesium citrate,10,16
Vaginal Yeast Infection,Tioconazole,10,22
Birth Control,Depo-Provera,6,2
,Drospirenone / ethinyl estradiol,4,8
Birth Control,Safyral,5,2
Emergency Contraception,Levonorgestrel,10,2
Depression,Effexor XR,10,28
Insomnia,Desyrel,6,26
"Diabetes, Type 2",Glyburide,9,11
Generalized Anxiety Disorde,Escitalopram,10,6
Renal Cell Carcinoma,Aldesleukin,10,13
Social Anxiety Disorde,Zoloft,8,47
Depression,Desvenlafaxine,3,7
,Levonorgestrel,7,0
Birth Control,Drospirenone / ethinyl estradiol,4,7
Obesity,Phentermine / topiramate,10,48
Major Depressive Disorde,Pristiq,3,11
Bipolar Disorde,Lurasidone,5,0
Vaginal Yeast Infection,Miconazole,3,3
Alcohol Dependence,Acamprosate,10,62
Acne,Spironolactone,10,82
Nausea/Vomiting of Pregnancy,Doxylamine / pyridoxine,3,6
Pain,Demerol,10,32
Binge Eating Disorde,Vyvanse,8,18
Birth Control,Depo-Provera,10,3
Hepatitis C,Sovaldi,9,9
Depression,Sertraline,3,12
Back Pain,Motrin IB,9,20
Cold Sores,Valacyclovir,9,7
Opiate Dependence,Buprenorphine / naloxone,10,16
Heart Attack,Metoprolol,5,14
Depression,Pristiq,7,81
Asthma,Montelukast,9,7
Cough,Dextromethorphan,2,10
Erectile Dysfunction,Levitra,4,2
Insomnia,Restoril,1,23
Autoimmune Hepatitis,Azathioprine,10,10
Acne,Adapalene / benzoyl peroxide,2,1
"Constipation, Chronic",Linzess,10,25
Seizures,Levetiracetam,9,28
Acne,Ziana,10,30
Opiate Dependence,Suboxone,5,19
Birth Control,Nexplanon,9,2
Bacterial Vaginitis,Tinidazole,5,12
Not Listed / Othe,Diazepam,10,9
Acne,Spironolactone,9,7
Bipolar Disorde,Quetiapine,9,23
Headache,Acetaminophen / butalbital / caffeine,10,30
Birth Control,Ethinyl estradiol / norethindrone,5,2
Postmenopausal Symptoms,Estradiol,10,11
ibromyalgia,Gabapentin,9,43
Birth Control,ParaGard,10,7
Anesthesia,Propofol,10,9
Birth Control,Depo-Provera,9,1
mance Anxiety,Propranolol,10,59
Acne,Adapalene / benzoyl peroxide,9,27
Menstrual Disorders,Yaz,8,8
Pneumonia,Levofloxacin,1,4
Depression,Vilazodone,10,25
Acne,Accutane,10,28
Depression,Bupropion,10,41
Pain,Nalbuphine,7,1
Depression,Lexapro,10,13
Generalized Anxiety Disorde,Quetiapine,9,25
"Constipation, Acute",MiraLax,10,142
Anxiety,Clonazepam,10,31
Seizures,Phenobarbital,9,5
Birth Control,Levonorgestrel,9,3
0</span> users found this comment helpful.,Tri-Sprintec,5,0
Rosacea,Metronidazole,9,110
Chronic Pain,Tramadol,9,20
Benign Essential Trem,Metoprolol,9,4
Human Papilloma Virus,Imiquimod,8,12
Hypersomnia,Caffeine,8,28
Birth Control,Levonorgestrel,10,7
Birth Control,Etonogestrel,8,29
Diabetic Kidney Disease,Lisinopril,1,3
Cough,Benzonatate,10,21
Meniere's Disease,Diazepam,10,52
Nasal Congestion,Ayr Saline Nasal,4,1
Depression,Venlafaxine,1,24
Pneumonia,Clarithromycin,9,20
Psoriatic Arthritis,Enbrel,8,11
Birth Control,Ethinyl estradiol / norethindrone,3,0
Bowel Preparation,Polyethylene glycol 3350 with electrolytes,10,42
Birth Control,Implanon,5,1
Pain,Gabapentin,9,37
Birth Control,Microgestin Fe 1 / 20,2,3
Keratoconjunctivitis Sicca,Restasis,1,31
Weight Loss,Belviq,7,25
Vaginal Yeast Infection,Tioconazole,1,5
Bipolar Disorde,Symbyax,7,17
Depression,Zoloft,1,44
Obsessive Compulsive Disorde,Zoloft,9,90
Major Depressive Disorde,Vilazodone,3,15
Acne,Tretinoin,8,68
Chronic Myelogenous Leukemia,Gleevec,10,5
Depression,Desvenlafaxine,7,175
Birth Control,Nexplanon,9,0
Restless Legs Syndrome,Ropinirole,10,4
Birth Control,Aviane,3,4
Endometriosis,Depo-Provera,7,40
Anxiety,Gabapentin,8,66
Birth Control,Ethinyl estradiol / levonorgestrel,8,8
Birth Control,Ethinyl estradiol / etonogestrel,9,3
emale Infertility,Clomiphene,10,171
Oral Thrush,Clotrimazole,2,8
Migraine Prevention,Topiramate,6,9
Birth Control,Etonogestrel,1,9
Insomnia,Ambien,10,14
ADHD,Vyvanse,8,36
Actinic Keratosis,Fluorouracil,10,10
HIV Infection,Genvoya,10,3
Pain,Tramadol,9,73
Cough,Tessalon Perles,9,63
Bipolar Disorde,Asenapine,10,11
Anxiety,Gabapentin,1,40
Weight Loss,Adipex-P,8,37
Birth Control,Ethinyl estradiol / levonorgestrel,10,5
Bowel Preparation,Suprep Bowel Prep Kit,8,15
Vitamin/Mineral Supplementation during Pregnancy/Lactation,Prenatal Plus,10,19
Bacterial Infection,Keflex,9,58
Vitamin D Deficiency,Vitamin D2,10,150
Sciatica,Flexeril,9,101
Depression,Viibryd,10,70
Menstrual Disorders,Lysteda,10,117
Migraine Prevention,Topiramate,4,14
Otitis Media,Omnicef,1,11
Skin or Soft Tissue Infection,Augmentin,2,1
Crohn's Disease,Pentasa,10,6
Nausea/Vomiting,Zofran,7,15
GERD,Kapidex,1,21
Depression,Serzone,10,59
Birth Control,Ethinyl estradiol / norgestimate,9,10
Depression,Zoloft,4,16
Urinary Tract Infection,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,2,0
Insomnia,Diphenhydramine,3,14
Rheumatoid Arthritis,Minocycline,4,2
Vaginal Yeast Infection,Monistat 3-Day Combination Pack,2,5
Labor Induction,Pitocin,10,16
Birth Control,Levonorgestrel,1,470
Myasthenia Gravis,Pyridostigmine,8,20
Back Pain,Naprosyn,9,30
Psoriasis,Elocon,8,38
Skin or Soft Tissue Infection,Clindamycin,8,8
Soft Tissue Sarcoma,Pazopanib,10,61
Birth Control,Skyla,1,2
Osteoporosis,Denosumab,1,157
Constipation,Bisacodyl,10,0
Anxiety,Paxil,10,58
Psoriasis,Methotrexate,9,86
Ovarian Cysts,Sprintec,3,12
Birth Control,Etonogestrel,1,3
Kidney Infections,Ciprofloxacin,10,26
Birth Control,Levonorgestrel,3,0
Weight Loss,Adipex-P,1,11
Weight Loss,Liraglutide,10,12
Pain,Buprenex,10,15
Birth Control,Apri,7,5
Birth Control,Implanon,10,2
Acne,Benzoyl peroxide / erythromycin,8,2
Giardiasis,Metronidazole,5,0
Weight Loss,Qsymia,10,69
Depression,Lexapro,8,20
ibromyalgia,Lyrica,9,68
Depression,Trintellix,9,48
Diverticulitis,Metronidazole,10,30
Anxiety,Klonopin,9,51
Anxiety,BuSpar,3,21
Influenza,Oseltamivir,10,5
Abnormal Uterine Bleeding,Seasonique,2,8
Anxiety,Niravam,10,38
Birth Control,Etonogestrel,10,4
Anxiety and Stress,Celexa,7,62
Cough,Codeine / guaifenesin,10,28
Depression,Bupropion,10,145
Anxiety,Klonopin,10,84
Acne,Spironolactone,9,5
Birth Control,NuvaRing,1,9
Acne,Minocycline,10,15
Emergency Contraception,Plan B One-Step,10,24
Sinusitis,Cefuroxime,10,31
Birth Control,Ortho Evra,7,1
Panic Disorde,Fluoxetine,3,3
Anxiety,Xanax,9,32
Gastroenteritis,Ondansetron,10,66
"Diabetes, Type 2",Dulaglutide,1,12
Osteoarthritis,Supartz,3,20
Period Pain,Naproxen,7,9
Birth Control,Alesse,6,15
Acne,Tretinoin,10,16
Insomnia,Ambien,6,35
Obesity,Orlistat,9,35
Birth Control,Microgestin Fe 1.5 / 30,9,5
Birth Control,Yaz,3,10
Inflammatory Conditions,Methylprednisolone,7,22
Osteoarthritis,Cymbalta,3,8
Birth Control,Nexplanon,1,4
Muscle Pain,Aspirin / carisoprodol,7,0
Pneumonia,Clarithromycin,10,20
"Diabetes, Type 2",Canagliflozin,6,0
Allergic Rhinitis,Nasonex,9,4
Pain,Oxycodone,9,27
ADHD,Vyvanse,8,28
Birth Control,Junel Fe 1 / 20,1,6
6</span> users found this comment helpful.,Kombiglyze XR,10,6
Sinusitis,Levofloxacin,10,42
Neutropenia Associated with Chemotherapy,Pegfilgrastim,8,13
Weight Loss,Phentermine,10,50
Emergency Contraception,Levonorgestrel,10,13
High Blood Pressure,Lisinopril,10,13
Rosacea,Azelaic acid,2,6
Birth Control,Mirena,1,2
Insomnia,Suvorexant,1,16
"Herpes Simplex, Suppression",Lysine,8,6
Pain,Duloxetine,1,32
GERD,Nexium,6,22
Menstrual Disorders,Junel Fe 1 / 20,2,5
Anxiety and Stress,Citalopram,10,206
Hyperhidrosis,Drysol,10,14
Vaginal Yeast Infection,Miconazole,1,4
Multiple Sclerosis,Corticotropin,1,3
Cough,Benzonatate,10,10
Depression,Mirtazapine,10,44
Generalized Anxiety Disorde,Lexapro,10,77
24</span> users found this comment helpful.,Seroquel,9,24
Birth Control,Nexplanon,9,5
Pain,Oxycodone,10,42
Vertig,Meclizine,9,46
Sinusitis,Cefdinir,10,0
Birth Control,Tri-Sprintec,10,2
Birth Control,Implanon,7,8
Depression,Citalopram,1,8
Muscle Spasm,Methocarbamol,1,4
Insomnia,Ambien,8,25
Bronchitis,Azithromycin,8,9
Birth Control,Tri-Sprintec,1,3
Restless Legs Syndrome,Sinemet,7,12
Actinic Keratosis,Fluorouracil,3,7
GERD,Esomeprazole,9,76
Asthma,Prednisone,1,18
Pain,Fentanyl,8,7
Nasal Congestion,Pseudoephedrine,8,4
Autism,Risperidone,9,44
Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor,10,11
Weight Loss,Phentermine / topiramate,10,113
Birth Control,Junel Fe 1.5 / 30,1,4
Birth Control,Mirena,9,12
Birth Control,Copper,1,6
Bipolar Disorde,Divalproex sodium,7,48
Bipolar Disorde,Lamotrigine,10,73
High Cholesterol,Pravastatin,5,283
Anxiety and Stress,Amitriptyline,4,62
Erectile Dysfunction,Vardenafil,7,17
Bipolar Disorde,Abilify,2,10
High Blood Pressure,Amlodipine,2,89
Restless Legs Syndrome,Clonazepam,10,28
Birth Control,Skyla,5,1
High Blood Pressure,Carvedilol,9,59
Urticaria,Xyzal,10,32
Depression,Budeprion SR,8,7
ibromyalgia,Amitriptyline,2,46
Depression,Desvenlafaxine,5,5
High Cholesterol,Rosuvastatin,8,90
Weight Loss,Phentermine,8,7
Weight Loss,Victoza,4,17
Anxiety,Gabapentin,10,199
Birth Control,Mirena,10,8
Pain,Percocet,10,4
Weight Loss,Contrave,8,27
"Diabetes, Type 2",Trulicity,3,67
Birth Control,Ethinyl estradiol / levonorgestrel,2,1
ADHD,Vyvanse,10,182
Birth Control,Junel Fe 1 / 20,10,9
Menstrual Disorders,Tranexamic acid,10,31
Obesity,Contrave,9,23
Birth Control,Nexplanon,1,2
Weight Loss,Phentermine,10,91
Birth Control,NuvaRing,1,0
Cough,Dextromethorphan,10,13
Acne,Junel Fe 1 / 20,6,16
Panic Disorde,Paxil CR,1,3
Weight Loss,Adipex-P,10,212
Birth Control,ParaGard,9,6
Pain,OxyContin,10,134
Vaginal Yeast Infection,Miconazole,3,11
Anxiety,Chlordiazepoxide,3,28
Bipolar Disorde,Olanzapine,9,36
Birth Control,Lo Loestrin Fe,1,5
Emergency Contraception,Levonorgestrel,5,3
Major Depressive Disorde,Zoloft,5,11
Acne,Doxycycline,7,11
Birth Control,Aviane,7,2
Systemic Lupus Erythematosus,CellCept,8,38
Bipolar Disorde,Lamotrigine,10,9
Weight Loss,Phentermine,5,1
Diarrhea,Imodium A-D,10,46
Pain,Oxycodone,9,5
"Crohn's Disease, Acute",Azathioprine,2,6
Migraine Prevention,Topamax,10,3
Birth Control,Etonogestrel,8,4
Acne,Doxycycline,4,19
HIV Infection,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,7,5
Emergency Contraception,Plan B One-Step,5,4
Birth Control,Etonogestrel,10,6
Birth Control,Chateal,1,1
Migraine,Rizatriptan,10,12
Birth Control,ParaGard,9,0
Social Anxiety Disorde,Strattera,8,15
Vaginal Yeast Infection,Monistat 7-Day Combination Pack,1,11
Acne,Spironolactone,10,36
"Herpes Simplex, Suppression",Valacyclovir,1,9
Depression,Tramadol,10,121
Muscle Spasm,Cyclobenzaprine,10,34
Anxiety,Escitalopram,10,13
Birth Control,Ethinyl estradiol / norelgestromin,8,73
Birth Control,Sprintec,10,10
Pulmonary Hypertension,Uptravi,6,13
Migraine,Eletriptan,10,10
Rheumatoid Arthritis,Prednisone,5,8
Birth Control,Skyla,10,1
Acne,Isotretinoin,10,7
High Blood Pressure,Lisinopril,4,75
Bladder Infection,Nitrofurantoin,5,14
Depression,Wellbutrin,9,57
Rosacea,Rosula,10,12
Obesity,Qsymia,8,19
High Blood Pressure,Methyldopa,3,24
Birth Control,ParaGard,5,4
Depression,Fetzima,10,75
"Constipation, Chronic",Linaclotide,6,19
Birth Control,Levonorgestrel,8,9
Bladder Infection,Nitrofurantoin,8,5
Breast Cance,Arimidex,9,101
Depression,Bupropion,9,124
Nausea/Vomiting,Ondansetron,9,69
Insomnia,Eszopiclone,10,30
Birth Control,Mononessa,4,6
Seizure Prevention,Topiramate,7,29
Birth Control,Implanon,9,0
Abnormal Uterine Bleeding,Norethindrone,3,32
Abnormal Uterine Bleeding,Medroxyprogesterone,1,4
Osteoarthritis,Synvisc-One,1,20
Birth Control,Xulane,9,6
Major Depressive Disorde,Remeron,8,49
Borderline Personality Disorde,Quetiapine,10,36
Depression,Viibryd,10,80
Migraine Prevention,Pamelor,6,57
Depression,Xanax,10,193
Birth Control,Ethinyl estradiol / norethindrone,2,25
Birth Control,Etonogestrel,2,1
Muscle Spasm,Orphenadrine,7,32
Rheumatoid Arthritis,Etanercept,3,35
Weight Loss,Bupropion / naltrexone,9,30
ibromyalgia,Milnacipran,9,38
Bipolar Disorde,Klonopin,10,23
Smoking Cessation,Chantix,10,34
Osteoarthritis,Acetaminophen / codeine,10,5
Rat-bite Feve,Penicillin v potassium,9,5
Smoking Cessation,Varenicline,1,12
Obesity,Bupropion / naltrexone,10,13
Birth Control,Implanon,10,0
Constipation,Bisacodyl,5,5
"COPD, Maintenance",Advair Diskus,9,9
Erectile Dysfunction,Cialis,8,38
Birth Control,Ethinyl estradiol / norelgestromin,8,29
Not Listed / Othe,Tadalafil,10,0
Bipolar Disorde,Olanzapine,1,30
Erectile Dysfunction,Tadalafil,10,44
Seizure Prevention,Klonopin,10,15
Rheumatoid Arthritis,Humira,8,41
Anxiety,Alprazolam,10,61
Anxiety,Clonazepam,8,16
Alopecia,Minoxidil,9,18
"Diabetes, Type 2",Dulaglutide,10,18
Birth Control,Desogestrel / ethinyl estradiol,9,5
Bowel Preparation,Suprep Bowel Prep Kit,10,26
Birth Control,Levonorgestrel,9,48
Emergency Contraception,Levonorgestrel,8,33
"Diabetes, Type 2",Metformin,2,7
Dysuria,Phenazopyridine,9,15
Birth Control,Ethinyl estradiol / levonorgestrel,4,4
Warts,Duofilm,10,0
Emergency Contraception,Levonorgestrel,8,1
Pain,Duloxetine,1,126
Birth Control,Levonorgestrel,1,4
Anxiety,Clonazepam,2,3
Leukemia,Sprycel,1,0
Constipation,Bisacodyl,2,8
Emergency Contraception,ella,10,7
High Cholesterol,Rosuvastatin,4,62
Panic Disorde,Klonopin,9,67
Birth Control,Etonogestrel,10,11
Abnormal Uterine Bleeding,Sronyx,3,3
Anxiety,Paxil,8,25
Birth Control,Implanon,10,12
Depression,Viibryd,2,23
Birth Control,Ortho Tri-Cyclen Lo,10,1
Weight Loss,Contrave,9,12
"Conjunctivitis, Allergic",Alcaftadine,1,32
Urinary Tract Infection,Sulfamethoxazole / trimethoprim,2,5
Underactive Thyroid,Levothyroxine,8,48
Still's Disease,Kineret,7,7
Hashimoto's disease,Nature-Throid,10,55
Birth Control,Levonorgestrel,2,11
Bipolar Disorde,Quetiapine,5,27
Vaginal Yeast Infection,Tioconazole,6,5
Anesthesia,Propofol,5,7
Bacterial Vaginitis,Metronidazole,5,4
Irritable Bowel Syndrome,Cholestyramine,10,76
Birth Control,Aviane,8,7
Birth Control,Depo-Provera,9,12
"Constipation, Chronic",Linaclotide,10,22
Birth Control,Etonogestrel,10,1
Birth Control,Levonorgestrel,9,0
Pain,Flector Patch,10,24
Nausea/Vomiting,Prochlorperazine,1,5
Birth Control,Zovia,8,7
Sinusitis,Azithromycin,9,1
Mitral Valve Prolapse,Toprol-XL,8,36
Abnormal Uterine Bleeding,Medroxyprogesterone,1,8
Acne,Minocycline,4,2
Epilepsy,Perampanel,1,5
High Blood Pressure,Cozaar,9,163
Allergic Rhinitis,Acetaminophen / dexbrompheniramine / pseudoephedrine,10,0
"Hypogonadism, Male",AndroGel,10,101
Birth Control,Desogestrel / ethinyl estradiol,3,0
Pain,Avinza,9,19
Anxiety,Escitalopram,8,39
9</span> users found this comment helpful.,Cialis,10,9
Anxiety,Ativan,10,24
ADHD,Atomoxetine,4,19
Birth Control,Implanon,9,0
Obesity,Lorcaserin,10,50
Birth Control,Ethinyl estradiol / etonogestrel,8,2
Pain,Oxymorphone,10,58
Obsessive Compulsive Disorde,Sertraline,5,12
Birth Control,Nexplanon,9,4
Bipolar Disorde,Saphris,9,37
Overactive Bladde,Mirabegron,9,104
Peripheral Neuropathy,Gabapentin,7,18
Pain,Pramoxine,2,0
"Glaucoma, Open Angle",Alphagan P,2,5
Major Depressive Disorde,Venlafaxine,10,30
Birth Control,Etonogestrel,7,10
Constipation,Phillips' Milk of Magnesia,10,25
Birth Control,Etonogestrel,9,8
Depression,Citalopram,9,4
Irritable Bowel Syndrome,Eluxadoline,9,11
Depression,Duloxetine,8,21
Cough,Benzonatate,10,81
Birth Control,Ethinyl estradiol / levonorgestrel,10,3
"Onychomycosis, Toenail",Terbinafine,5,16
Cluster Headaches,Indomethacin,9,9
Depression,Wellbutrin,10,88
Anxiety,Klonopin,10,70
Bipolar Disorde,Latuda,5,11
Weight Loss,Belviq,7,43
Ulcerative Colitis,Mesalamine,10,13
Birth Control,Etonogestrel,8,6
Bacterial Skin Infection,Sulfamethoxazole / trimethoprim,10,40
Emergency Contraception,Plan B,9,3
Psoriatic Arthritis,Apremilast,8,25
Smoking Cessation,Bupropion,9,34
Back Pain,Norco,8,32
Depression,Celexa,10,43
Weight Loss,Phentermine / topiramate,10,64
Emergency Contraception,ella,10,9
ibromyalgia,Savella,9,114
Birth Control,Levonorgestrel,1,3
Constipation,Bisacodyl,8,6
Depression,Sertraline,6,3
Opiate Dependence,Buprenorphine / naloxone,10,12
Opiate Dependence,Vivitrol,10,63
Birth Control,Ortho Cyclen,6,4
Panic Disorde,Clonazepam,8,15
"Asthma, Maintenance",Advair HFA,9,2
Breast Cance,Anastrozole,10,154
Deep Vein Thrombosis,Xarelto,10,117
min / sitagliptin),Metformin / sitagliptin,1,44
Anxiety,Lexapro,9,54
Insomnia,Belsomra,9,31
Birth Control,TriNessa,4,1
Post Traumatic Stress Disorde,Prazosin,10,54
Obesity,Qsymia,10,113
Birth Control,Tri-Sprintec,10,25
Irritable Bowel Syndrome,Dicyclomine,9,108
Bipolar Disorde,Seroquel,9,39
Birth Control,Etonogestrel,1,16
Osteoarthritis,Sodium hyaluronate,8,33
Acne,Adapalene / benzoyl peroxide,9,8
Weight Loss,Phentermine,10,30
Birth Control,Ethinyl estradiol / norgestimate,10,8
Pain,Toradol,9,5
Acne,Epiduo,10,8
Bursitis,Prednisone,9,41
Prostatitis,Ciprofloxacin,3,17
Bowel Preparation,Suprep Bowel Prep Kit,7,1
Acne,Benzoyl peroxide / clindamycin,10,14
Bipolar Disorde,Latuda,1,6
Weight Loss,Belviq,9,152
Bacterial Vaginitis,Metronidazole,8,20
Birth Control,Tri-Sprintec,9,13
ibromyalgia,Lyrica,9,65
Birth Control,Kyleena,10,3
Birth Control,Ethinyl estradiol / norethindrone,7,11
Postoperative Pain,Toradol,9,27
Sinusitis,Clarithromycin,10,22
Hyperhidrosis,Aluminum chloride hexahydrate,10,23
Peripheral Neuropathy,Gabapentin,5,191
Emergency Contraception,Plan B One-Step,10,18
Irritable Bowel Syndrome,Levsin SL,10,44
Acne,Benzoyl peroxide / clindamycin,7,9
Human Papillomavirus Prophylaxis,Human papillomavirus vaccine,5,10
Cough,Lortab,10,29
Depression,Zoloft,9,66
ADHD,Dexmethylphenidate,10,85
Opiate Withdrawal,Catapres,10,154
Birth Control,NuvaRing,10,2
Major Depressive Disorde,Sertraline,10,116
ibromyalgia,Cyclobenzaprine,9,30
Hepatitis C,Harvoni,10,33
GERD,Lansoprazole,10,16
Birth Control,Medroxyprogesterone,4,1
Smoking Cessation,Varenicline,10,0
Bacterial Skin Infection,Sulfamethoxazole / trimethoprim,5,14
Birth Control,Ethinyl estradiol / norgestimate,10,18
Restless Legs Syndrome,Carbidopa / levodopa,10,69
Not Listed / Othe,Hydrocodone,9,7
Chronic Pain,Morphine,5,19
"Constipation, Drug Induced",Relistor,10,46
Chlamydia Infection,Doxycycline,1,0
Birth Control,Skyla,7,1
Birth Control,Ethinyl estradiol / norgestimate,1,17
"Ulcerative Colitis, Active",Mesalamine,10,12
Birth Control,Ortho Tri-Cyclen Lo,10,0
me,Bevacizumab,10,3
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,9,4
Computed Tomography,Barium sulfate,9,43
High Blood Pressure,Azor,9,22
Bronchitis,Azithromycin,5,4
Bowel Preparation,Suprep Bowel Prep Kit,9,17
Urinary Tract Infection,Nitrofurantoin,3,39
Allergic Rhinitis,Azelastine / fluticasone,10,9
Vaginal Yeast Infection,Miconazole,1,3
Depression,Sertraline,9,38
"Herpes Zoster, Prophylaxis",Zoster vaccine live,9,1
Supraventricular Tachycardia,Diltiazem,9,9
Bacterial Infection,Clindamycin,3,21
Smoking Cessation,Chantix,10,16
Birth Control,Tri-Previfem,3,0
Anesthesia,Propofol,1,10
ADHD,Amphetamine / dextroamphetamine,8,52
Acne,Dapsone,10,12
Indigestion,Bismuth subsalicylate,10,11
